State,HPAI_outbreaks,HPAI_outbreaks_map0,HPAI_status,Rabies_outbreaks,Rabies_outbreaks_map0,Rabies_status,Trypanosomosis_outbreaks,Trypanosomosis_outbreaks_map0,Trypanosomosis_status,Total_reported_outbreaks,N_diseases_with_reported_outbreaks,Missing_value_treatment
Nasarawa,22.0,22,Reported outbreaks present,2.0,2,Reported outbreaks present,3.0,3,Reported outbreaks present,27.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Niger,11.0,11,Reported outbreaks present,7.0,7,Reported outbreaks present,54.0,54,Reported outbreaks present,72.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Ogun,45.0,45,Reported outbreaks present,6.0,6,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),51.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Ondo,,0,No reported outbreaks in extracted dataset (not an observed zero),5.0,5,Reported outbreaks present,4.0,4,Reported outbreaks present,9.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Osun,1.0,1,Reported outbreaks present,17.0,17,Reported outbreaks present,2.0,2,Reported outbreaks present,20.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Oyo,18.0,18,Reported outbreaks present,6.0,6,Reported outbreaks present,2.0,2,Reported outbreaks present,26.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Plateau,308.0,308,Reported outbreaks present,632.0,632,Reported outbreaks present,2.0,2,Reported outbreaks present,942.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Rivers,56.0,56,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),,0,No reported outbreaks in extracted dataset (not an observed zero),56.0,1,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Sokoto,7.0,7,Reported outbreaks present,3.0,3,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),10.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Taraba,23.0,23,Reported outbreaks present,6.0,6,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),29.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Yobe,3.0,3,Reported outbreaks present,8.0,8,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),11.0,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Zamfara,8.0,8,Reported outbreaks present,8.0,8,Reported outbreaks present,2.0,2,Reported outbreaks present,18.0,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
