Check,Result,Detail
6c. Trypanosomosis missing-year list verified from raw data,PASS,"expected [2006, 2007, 2016, 2022, 2023, 2024, 2025]; observed-from-raw [2006, 2007, 2016, 2022, 2023, 2024, 2025]"
7c. Completeness engine reproduces historical 2006-2023 figures,PASS,497 records / 479 complete / 18 all-counts-missing (3.6217%) reproduced
16. Semester totals reconcile to annual totals,PASS,HPAI: semester=1273 annual=1273; Rabies: semester=1232 annual=1232; Trypanosomosis: semester=130 annual=130
8c. Historical 2006-2023 semester split and exact binomial p reproduced,PASS,"HPAI 866/366, Rabies 364/559, Tryp 67/63 with matching p-values"
15b. Historical 2006-2023 Spearman AS LABELLED (calendar year vs reported outbreaks) reproduced,FAIL,"NOT REPRODUCIBLE AS LABELLED - root cause identified, see check 15d. Correctly specified values are HPAI n=13 rho=-0.116024 p=0.7058 (published +0.828742 p=0.000463); Rabies n=18 rho=+0.761364 p=0.0002421 (published +0.861944 p=4e-06); Trypanosomosis n=13 rho=+0.367409 p=0.2168 (published +0.795304 p=0.001153). The published annual outbreak series itself reproduces exactly (check 7b), so with x=calendar year and y=that series the coefficient is mathematically determined and differs from the published value. CONSEQUENCE: the published HPAI and Trypanosomosis 'increasing trend' results do not hold; only Rabies shows a genuine positive year-vs-outbreaks association."
15d. Source of the previously published Spearman coefficients identified,PASS,"The three published coefficients reproduce EXACTLY (to 6 dp, rho and p) as Spearman(annual reported outbreaks vs annual reported cases) over 2006-2023 - not as year vs outbreaks: HPAI n=13 rho=0.828742 p=0.000463; Rabies n=18 rho=0.861944 p=0.000004; Trypanosomosis n=13 rho=0.795304 p=0.001153. The previously reported 'trend over calendar year' was therefore an outbreak-case consistency correlation carrying a temporal-trend label."
15c. Geography reconciles to national annual totals,PASS,HPAI: geo=1273 national=1273; Rabies: geo=1232 national=1232; Trypanosomosis: geo=130 national=130
21. Geographic administrative-division cleaning completed,PASS,"State_Clean derived from 'Administrative Division'; raw column preserved unchanged. Actions: Unchanged (already a state-level value)=1095; Flagged (non-state entity, not recoded)=6; Rename (spelling correction)=6; Recode (LGA -> parent state)=5. 7 mapped values audited in Geo_Recoding_Audit"
22. Nassarawa spelling correction verified,PASS,"6 rows renamed Nassarawa -> Nasarawa (years 2021-2022); 0 rows retain the misspelling in State_Clean; 'Nasarawa' present in the cleaned geography, 'Nassarawa' absent"
23. Batagarawa -> Katsina verified,PASS,"1 raw row(s) reassigned to Katsina, all in year(s) 2026; 0 of them fall inside the 2006-2025 study period, so the study-period geography is unchanged by this recoding. 'Batagarawa' no longer appears as a division in the cleaned study dataset"
24. Gwale -> Kano verified,PASS,"1 raw row(s) reassigned to Kano, all in year(s) 2026; 0 of them fall inside the 2006-2025 study period, so the study-period geography is unchanged by this recoding. 'Gwale' no longer appears as a division in the cleaned study dataset"
25. Jos North -> Plateau verified,PASS,"1 raw row(s) reassigned to Plateau, all in year(s) 2026; 0 of them fall inside the 2006-2025 study period, so the study-period geography is unchanged by this recoding. 'Jos North' no longer appears as a division in the cleaned study dataset"
26. Toro -> Bauchi verified,PASS,"1 raw row(s) reassigned to Bauchi, all in year(s) 2026; 0 of them fall inside the 2006-2025 study period, so the study-period geography is unchanged by this recoding. 'Toro' no longer appears as a division in the cleaned study dataset"
27. Ungogo -> Kano verified,PASS,"1 raw row(s) reassigned to Kano, all in year(s) 2026; 0 of them fall inside the 2006-2025 study period, so the study-period geography is unchanged by this recoding. 'Ungogo' no longer appears as a division in the cleaned study dataset"
28. Geographic recoding did not alter national disease totals,PASS,HPAI: 1273 -> 1273 (diff 0); Rabies: 1232 -> 1232 (diff 0); Trypanosomosis: 130 -> 130 (diff 0); ALL THREE: 2635 -> 2635 (diff 0)
29. State-level totals reconcile before vs after geographic cleaning,PASS,Cleaning is a relabelling only: 6 study-period rows changed state label (all 6 Nassarawa->Nasarawa; the 5 LGA rows are 2026-only and outside the study period). Division count 38 -> 38; national totals per disease and overall unchanged; cleaned geography still reconciles to the annual tables
30. QGIS-ready state dataset uses standardized state names,PASS,"37 rows = Nigeria's 36 states + FCT, names matching standard shapefile spellings; 0 unrecognised values. 1 value(s) flagged for review and held OUT of the state file: 'Nigeria' (6 rows)"
18. State x disease matrix reconciles to geographic totals,PASS,38 administrative divisions; column sums equal national totals for all 3 diseases
10. 2012 Rabies annual totals reproduced,PASS,28 raw records; outbreaks=19 cases=1667 deaths=93 killed=134 slaughtered=4
"10b. Largest single 2012 Rabies record verified (Bauchi, Jul-Dec, domestic dogs)",PASS,1575 cases = 94.48% of 2012 Rabies cases; no field in the quantitative dataset identifies a cause
11. HPAI 2009-2013 reporting gap confirmed in raw data,PASS,"0 HPAI raw rows across 2009-2013; other diseases reported in the same years (Rabies 93 rows, Trypanosomosis 30 rows), so the gap is disease-specific, not a whole-country reporting outage. Retained as NA, not zero"
12. 2024 independently verified from raw data,PASS,"HPAI 5 outbreaks/4,156 cases; Rabies 184 outbreaks/190 cases; Trypanosomosis no observations"
13. 2025 independently verified from raw data,PASS,"HPAI 36 outbreaks/117,032 cases; Rabies 125 outbreaks/125 cases; Trypanosomosis no observations"
14. 2026 exclusion audited and justified,PASS,"6 rows, HPAI only, Jan-Jun 2026 only: 9 outbreaks, 27,127 cases, 9,008 deaths, 18,189 killed/disposed, 0 slaughtered; divisions Batagarawa, Bauchi, Gwale, Jos North, Toro, Ungogo (LGA-level, unlike the state-level 2006-2025 records)"
17b. Cutoff sensitivity totals match specification for all 3 windows,PASS,45 metric-disease-period cells verified across 2006-2023 / 2006-2024 / 2006-2025
17. Figure datasets reconcile to tables,PASS,"Figure_1_Data==Table 2, Figure_2_Data==Table 3, Figure_3_Data==Table 4, Figure_4_Data==Table 5 (cell-for-cell, NA preserved)"
